"V1","V2","V3"
1,2,3
691.301059206623,751.527323871429,1789.25332190172
0.95039138013245,0.96961042,0.994200632758621
114.133986754967,567.769928571429,83.7758448275862
69.9120794701987,214.770657142857,62.2035
44.2483973509934,353.078628571429,22.0875
156.985815272848,113.032656464286,832.381795458621
0.165231741721854,0.753809525714286,0.0837643379310345
0.0576158344370861,0.112857117142857,0.0420976672413793
0.102538633112583,0.664404801428571,0.039942525862069
0.0551875682119205,0.0307142714285714,0.210488501724138
0.819867549668874,0.545714285714286,3.50862068965517
2.3364238410596,13.17,1.45172413793103
2231.19205298013,2719.5,2862.5
442.979615340397,628.058982135714,713.851160451724
289.554913013245,353.536539295714,577.398508293103
0.0213818675496689,0.0316647414285714,0.00360239482758621
