"BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT"
1,0.340838461232657,-0.132525489474627,-0.0196218994309047,-0.172515248869539,0.386910727668712,-0.273285204530234,-0.0200523572985464,-0.261460546934169,0.376893274509965,0.356615076043704,-0.205898118265771,0.199585016874617,0.273611803796822,0.809822816031728,-0.383581996629211
0.340838461232657,1,-0.0248322608740043,-0.0275747564721893,-0.00768245434751222,0.0276981706312943,-0.00974458991706879,-0.00915562224836334,0.00540715669375083,0.136871923404545,0.117679831705392,0.00842839098610544,-0.0651174376523296,0.0117778406944938,0.311433529704574,-0.289867881666285
-0.132525489474627,-0.0248322608740043,1,0.726822757543585,0.712720109104066,-0.217263340017162,0.601871921525045,0.527611393514053,0.483891268443928,-0.290782633354478,-0.263848472781091,0.682185036747234,0.159462267239619,0.187998197833243,-0.0528675020523631,0.0944864549921834
-0.0196218994309047,-0.0275747564721893,0.726822757543585,1,0.0367180062521663,-0.132882616367451,0.118380775382109,0.740896985290966,-0.0565272801403814,-0.14146074401133,-0.132692654093308,0.240311264698628,0.162073660226702,0.139250691765147,-0.0314808969672058,0.0116648402728085
-0.172515248869539,-0.00768245434751222,0.712720109104066,0.0367180062521663,1,-0.180350598219028,0.75475494712245,0.0111909626726751,0.761855717932508,-0.27705965634397,-0.24736099022084,0.747620779171733,0.0659589603836791,0.132011086588075,-0.0429011535369832,0.125109483869693
0.386910727668712,0.0276981706312943,-0.217263340017162,-0.132882616367451,-0.180350598219028,1,-0.300967840668588,-0.157979362650259,-0.259003872518145,0.596226665012793,0.653172602484643,-0.242249705327944,0.129234696757048,0.24296260132792,0.222867656199149,-0.100346227321129
-0.273285204530234,-0.00974458991706879,0.601871921525045,0.118380775382109,0.75475494712245,-0.300967840668588,1,0.17923761246821,0.962971378442076,-0.395518547650255,-0.35704556463422,0.895802713438774,0.00869766017851755,0.000130256068678562,-0.108731231899777,0.204144268666421
-0.0200523572985464,-0.00915562224836334,0.527611393514053,0.740896985290966,0.0111909626726751,-0.157979362650259,0.17923761246821,1,-0.0519782735590463,-0.146255400639605,-0.132146851235907,0.299153914625343,0.112620139826529,0.0814270203512698,-0.00125399498962649,-0.00596557684410979
-0.261460546934169,0.00540715669375083,0.483891268443928,-0.0565272801403814,0.761855717932508,-0.259003872518145,0.962971378442076,-0.0519782735590463,1,-0.347441713916213,-0.314042475294465,0.849741344081427,-0.0251524663898033,-0.0101857378375671,-0.0983028591623253,0.202809671315585
0.376893274509965,0.136871923404545,-0.290782633354478,-0.14146074401133,-0.27705965634397,0.596226665012793,-0.395518547650255,-0.146255400639605,-0.347441713916213,1,0.921788253700442,-0.312271791806731,-0.0562837147189414,0.179229966393505,0.255769187905191,-0.134342619982788
0.356615076043704,0.117679831705392,-0.263848472781091,-0.132692654093308,-0.24736099022084,0.653172602484643,-0.35704556463422,-0.132146851235907,-0.314042475294465,0.921788253700442,1,-0.280534830939448,-0.0537558391140725,0.191257289582428,0.253468432430341,-0.122500135724029
-0.205898118265771,0.00842839098610544,0.682185036747234,0.240311264698628,0.747620779171733,-0.242249705327944,0.895802713438774,0.299153914625343,0.849741344081427,-0.312271791806731,-0.280534830939448,1,0.0459598533043871,0.0612899490190061,-0.0592605395519096,0.14983676088519
0.199585016874617,-0.0651174376523296,0.159462267239619,0.162073660226702,0.0659589603836791,0.129234696757048,0.00869766017851755,0.112620139826529,-0.0251524663898033,-0.0562837147189414,-0.0537558391140725,0.0459598533043871,1,0.176311442571515,0.0237823039846924,0.0200990257221157
0.273611803796822,0.0117778406944938,0.187998197833243,0.139250691765147,0.132011086588075,0.24296260132792,0.000130256068678562,0.0814270203512698,-0.0101857378375671,0.179229966393505,0.191257289582428,0.0612899490190061,0.176311442571515,1,0.218963323133971,0.088873142206414
0.809822816031728,0.311433529704574,-0.0528675020523631,-0.0314808969672058,-0.0429011535369832,0.222867656199149,-0.108731231899777,-0.00125399498962649,-0.0983028591623253,0.255769187905191,0.253468432430341,-0.0592605395519096,0.0237823039846924,0.218963323133971,1,-0.32740875098919
-0.383581996629211,-0.289867881666285,0.0944864549921834,0.0116648402728085,0.125109483869693,-0.100346227321129,0.204144268666421,-0.00596557684410979,0.202809671315585,-0.134342619982788,-0.122500135724029,0.14983676088519,0.0200990257221157,0.088873142206414,-0.32740875098919,1
